Date,Pack,AP/Creds,Notes,Uncommon,Rare Mod,Rare Weap.,Rare Char.,UR Weap.,UR Char.,UR Booster,Ultra Rares
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,0,0,1,1,0,Inferno; Salarian Operator
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,0,2,0,0,0,
2-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,1,0,0,Naladen
3-Jul-17,Reserves,Credits,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,1,0,1,0,0,0,
3-Jul-17,Expert,Credits,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,1,0,0,0,1,
4-Jul-17,Reserves,Credits,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,1,0,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,1,1,0,0,1,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,1,0,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,1,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,0,2,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,0,1,0,Human Kineticist
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,1,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,1,1,0,0,1,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,2,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,1,0,0,N7 Valiant
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,0,0,1,0,Salarian Operator
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,0,1,1,0,0,Naladen
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,1,0,0,N7 Piranha
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,1,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,0,1,0,Angara Avenger
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,1,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,1,0,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,1,0,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,2,0,0,1,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,0,0,0,1,1,0,1,N7 Crusader
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; Gold char Unfin; UR weap unfin; UR char unfin,1,0,1,1,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,1,2,0,0,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,0,1,0,1,0,1,N7 Crusader
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,0,1,0,0,1,0,Salarian Operator
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,1,0,0,0,1,0,Asari Duelist
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,1,0,1,0,1,0,0,N7 Hurricane
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,2,0,0,0,0,1,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,0,1,0,0,1,0,Angara Exemplar
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,1,1,0,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,1,0,0,0,1,0,Asari Duelist
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,0,2,0,0,0,0,
4-Jul-17,Reserves,AP,Gold mod unfin.; Gold weap unfin; UR weap unfin; UR char unfin,0,1,1,0,0,0,0,
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,1,0,2,0,0,0,0,
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,1,0,2,0,0,0,0,
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,0,0,2,0,0,0,0,
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,1,0,1,0,0,1,0,Human Kineticist
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,0,0,2,0,0,0,0,
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,0,0,1,0,1,0,1,N7 Valiant
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,0,0,2,0,0,0,0,
4-Jul-17,Reserves,AP,Gold weap unfin; UR weap unfin; UR char unfin,0,0,1,0,0,1,0,Angara Avenger
6-Jul-17,Reserves,Credits,Gold weap unfin; UR weap unfin; UR char unfin,0,0,2,0,0,0,1,
